	A010	A013	A020	A023	A028	A038	A039	A052	A058	A063	A067	A069	A079	A083	A089	A094	A103	A124	D010	D016	D026	D043	D048	D063	D068	D072	E009	E017	E020	E030	N041	Y006	Y012	Y014	Y021	Y025	Y030	Y034	Y036	B005	B010	B023	B026	B030	B035	B039	B042	B047	B050	B053	B056	B058	B063	B071	B078	B084	B092	B098	B100	C005	C010	C012	C021	C027	C033	C045	C051	C056	C061	C065	C068	G009	G027	X007	X011	X018	X024	X027	X031	X034	X039	X044	X049	X051	X052	X057	X059	X065	X069
FDSW202612082-1r_S20201215-0023_Y021_bin.69.filtered	59.79783427	1.105696238	33.09937322	136.231255	74.46649309	61.34131846	2.127085559	9.551537506	46.43757267	68.58669383	0.020622466	0.00542746	27.98438674	0.063399722	3.306517868	2.08394017	14.90375057	68.18353153	33.53363664	3.273204335	3.953705626	0	0	0.033754307	3.218656105	2.054937953	78.89325787	3.730767534	6.985743246	7.60440789	4.554862033	33.74334876	58.30310988	60.01884369	21.91940589	11.01688465	6.586192621	8.879107668	17.77148154	9.202577128	1.83558761	15.79353297	30.77713629	14.83073939	17.37429058	6.146714493	11.3601716	13.76237133	34.23315977	80.65386321	26.45648801	38.37929937	31.20118388	8.007200375	14.90488975	22.90673762	26.1796083	21.26091078	5.786280844	17.74262758	3.758568724	2.32813667	10.64307759	6.078904548	4.256660607	48.31391727	4.413313484	2.578419204	6.92429283	102.6806964	51.59459969	32.62204802	70.16247986	13.57027935	4.428796191	0.859890654	15.54102478	27.45088742	13.1960676	25.62443947	0.971397434	5.408652439	29.65485746	9.267264354	2.238436836	9.819773565	9.087931802	24.59887034	2.223710268
FDSW202612060-1r_S20201215-0016_A058_bin.176.filtered	0.51177824	1.22577655	7.683084979	5.094118898	210.3179414	2.420654379	0.326740427	7.35830418	0.024057946	0.139444145	81.54970846	1.194541332	0.205266044	4.402151682	12.34580748	32.90411813	238.6847519	4.009106449	6.548266333	11.15667138	184.6031037	55.57140318	0.277293794	1.010314806	0.030003398	4.696198312	31.16958375	6.521308277	63.5523239	4.372321985	2.275996549	2.153349624	20.52013634	15.55537639	1.970189067	8.169188547	235.1895319	235.0394972	13.40728161	3.201366894	1.886183022	4.780620006	7.467659865	10.04726042	126.3296544	665.5756891	405.0217514	524.6467363	49.34030587	9.919091476	121.9012746	126.2640362	54.95284875	11.50918967	27.97307179	8.506863844	58.89095751	5.268063237	6.514551589	0.861630473	23.51656477	0.707499223	108.6760413	174.8210092	10.29880815	1.47373985	1.11403609	4.975866171	2.698513149	2.245157676	1.777263114	7.26469951	44.03199162	12.53429333	2.906335761	0.671067391	1.773844672	12.32369855	12.51923893	15.71286509	2055.766831	44.13499081	40.51493249	33.71972148	1.515980533	7.2156807	1.587379974	4.907615833	20.70935079
FDSW202612054-1r_S20201210-0006_X069_bin.134.filtered	3.21433279	0.180601996	1.583325509	2.423737932	14.40684353	2.494088929	1.567024227	9.928330102	0.577754467	1.024348824	4.645490801	0.870280443	4.456761451	1.815017086	1.385845193	1.570496283	16.10196028	2.754346622	17.98723723	65.67354247	6.367738122	13.6888578	0	0.253103669	0.252672879	8.205419218	2.256807355	0.054887114	5.061310938	6.835337207	0.487730674	5.819255203	4.261407478	11.70344707	0.701421709	30.44253946	14.88752942	18.78481441	7.362937448	0.148242753	0.102354485	0.144643845	0.502933888	0.1364234	0.34990987	0.396128172	1.466286283	0.910262862	50.53815156	1.138399755	8.577518682	23.04396861	59.22024038	0.977950457	11.97721587	0.742695573	5.848463082	0.518863093	2.384703174	0.146574938	0.588538082	0.122320734	1.941167671	0.347889144	0.160750189	0.254930834	0.220914165	14.98096075	0.835894992	0.790569667	0.699486296	0.102146275	0.142429162	9.432208884	0.06285758	0.024146519	0.089097726	1.011260639	0.401331961	1.917017442	0.032408321	0.534648572	20.46793603	1.474242972	9.44021107	3.839592419	37.85809805	8.268692179	13.69964388
FDSW202612089-1r_S20201210-0023_B053_bin.18.filtered	0	0	0	0	0	0.027562946	0	0	0	0	0	0	0	0	0	0	14.40697134	0.005814624	0.03017967	0	0	0	0	0	0	0.191706617	0.007760732	0.049906205	0.074536488	0	0.013128589	0.128904466	0	0.044227149	0	0.011336948	0.073351564	0	0.025429796	0.143684284	0.024828002	0.002105061	0	0	0	0	0	0	39.12889311	0	6.866432527	0	0.001871987	0.014021928	0	0	0	0	0.010507693	0	0.03239712	0.00224887	0.03536915	0.007344499	0.033913017	0	0	0	0.002252148	0.000296083	0	1.089395707	1.004537221	14.49688473	7.57691052	0.042697218	31.9547139	89.97858535	34.13653887	186.3225922	1.157721443	17.6606252	0.086826593	41.41608296	0.393713383	0.636918973	0.35332751	2.476884554	15.05116918
FDSW202612055-1r_S20201216-0196_A010_bin.178.filtered	0	0	0	0	0	0	0	0.011283326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.330466376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.86050439	0	0.830433343	0	0
FDSW202612134-1r_S20201210-0039_X059-2_bin.118.filtered	10.4225862	1.043352799	38.98825504	15.44436796	6.00318612	5.104696562	0.475038274	52.71765797	68.08191902	41.36014591	21.16866276	37.50305324	42.516681	21.4419924	17.25891883	32.62618522	0.093346299	8.487762983	30.86897439	22.33378065	87.65503816	16.48454374	0.685121915	13.91452611	21.65513998	8.420133441	0.198062644	1.444014038	5.875921586	0.251471841	44.89897118	4.699236539	32.78041731	56.49584029	26.55874634	51.44313652	120.8264299	137.4211695	55.25982575	0.030290933	0.05626963	0.875042264	0.440541829	0.112781026	0.019498684	0.086254613	0.123551497	0.77617558	0.187835354	1.407949828	0.052592549	0.047143436	0.157894486	0.914393057	0.040349024	0.022967714	0.482907156	0.110908019	0.551199692	0	6.526882843	0.046733726	0.035755995	0.028164633	0.030157574	0.024180016	0.047599529	0.00463583	0.044553642	0.019741583	0.164846219	0.147489888	0.187554829	0.166113632	0.219038355	0.101856296	0.167460049	0.144336119	0.130411323	0.308659674	0.099969836	0.180826202	0.205862212	0.163584312	1.045535258	0.155468735	0.129348223	0.215786456	0.15570886
FDSW202612049-1r_S20201215-0009_C065_bin.53.filtered	0	0.143980814	0.195340624	0.147382951	0.002731193	0.392535272	0.613265352	0.125492203	0.047859761	0.029865649	0	0.010745505	0	0.011137992	0	0.025447422	1.661002766	0.052681941	0.313205211	0.196673653	0.44319815	0	0	0	0.005208983	0.56076705	0.393916613	0.365952883	0.622277134	1.146648067	0.475466691	1.086925248	0.521935007	0.26640887	0.553535849	0.312246793	1.134661138	2.0900198	1.994403471	2.728338277	2.607542955	0.625054567	27.75718169	4.817917468	2.403512065	8.513642341	7.221155172	8.614173789	1.413710328	0	0.449847139	0.80042897	2.593432309	0.85259887	0.289698524	0.753594161	0.645734002	0.760171107	0.515970325	0.015068568	0.026727097	0.008467426	0.996994636	0.285602525	3.352890284	2.785668523	9.903523808	0.834314098	4.024450458	3.381888499	0.287190279	0.545845239	1.871706424	9.14444119	0.790917564	0.174362428	3.302050885	4.172179907	8.176050112	18.87071879	0.136753822	5.59418253	2.532672909	0.733598059	1.528988927	30.22750231	0.857525151	72.55546286	371.7467938
FDSW202612064-1r_S20201215-0018_A079_bin.150.filtered	0	0	2.196888079	0.019278125	0	0.183934355	0	1.071631042	0	0	0	0.013318384	0	0.063073496	0.065225585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.508652574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDSW202612070-1r_S20201210-0013_A114_bin.97.filtered	6.54157303	1.452497084	33.4179977	91.06527714	1.617829425	5.152125729	12.5290322	1.921482491	38.57429351	18.19153582	3.185389125	15.46270674	14.67218865	15.41113276	18.46932611	41.41495943	76.11269163	80.50164562	8.369387182	3.975656777	21.18969037	0.734169208	0	0.124874321	126.8602486	17.62946575	0.567747072	0.337118344	0.568590779	0.773051507	15.8996896	2.664977013	2.786872414	0.755410646	1.478880374	4.292267895	3.430864444	4.510388052	2.796287382	81.26552141	35.99908277	53.33942068	573.5863988	3.657725383	12.52876655	23.65786878	24.53191361	79.13587225	31.78572559	478.6294365	14.3585303	11.21080929	9.582544153	4.696866417	13.18455417	6.392479749	11.49046127	16.19381368	22.34638845	3.374315663	19.45810928	10.50732919	1.729700226	5.030389577	21.56897234	355.7384264	13.39238565	44.17742319	100.8680257	129.5514221	6.590474523	59.29633563	41.00673526	0.547698313	0.264284931	0.316428839	19.99339958	26.88013809	5.213476186	26.18258915	0.892178697	9.342094978	3.153588655	12.46225678	3.170803616	15.47792118	9.606765772	120.1329057	153.7365375
FDSW202612119-1r_S20201215-0045_A020_bin.155.filtered	0	0.722630925	0.693820605	0.76542409	0.001550424	0.279513929	0.02083177	0	0	0	0	0	0.964502033	0	0	0.576432626	22.70704422	0.961723725	0.9461088	1.151323594	0.526284284	0.009110408	0	0	0.066468148	0.264899928	0.083608397	0.121357136	0.224444874	23.33286291	0.13274497	55.61088694	0.06112929	0.146497259	0.120774528	0.129203755	0.917353314	1.178336186	0.218122784	1.024172693	0.647610888	7.56996442	13.14129912	4.185185911	8.642549031	10.49763535	9.973942491	30.16300259	208.9010369	0.899296681	12.9292421	124.9858133	409.105021	1.148375041	7.893565884	4.282153798	46.19738547	3.200433232	180.2050298	0.558838013	0.975218094	1.393694737	0.516856679	0.516812	0.656254152	0.951195471	4.029792961	0.944691366	1.158080188	0.776979085	1.701411662	24.57039163	8.750436714	2.163204949	0.320304711	0.087553595	0.263125535	0.187851951	0.411546277	0.666106606	0.127375791	1.28224145	5.845081935	14.48412337	97.57685028	26.00350558	0.201017976	5.718530163	59.16763031
